,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Result,
100,Always,Never,Never,Always,Never,Always,Never,Never,Always,Never,Always,Always,Always,Always,Sometimes,Always,Sometimes,Never,Always,Sometimes,True,
962,Sometimes,Never,Always,Never,Never,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,True,
238,Always,Sometimes,Always,Never,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,True,
827,Always,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Never,True,
407,Sometimes,Always,Never,Never,Always,Always,Always,Never,Always,Always,Never,Sometimes,Always,Always,Sometimes,Never,Sometimes,Sometimes,Never,Never,False,
33,Always,Never,Always,Never,Never,Never,Always,Never,Always,Never,Sometimes,Never,Never,Always,Sometimes,Always,Never,Sometimes,Always,Always,False,
493,Always,Sometimes,Sometimes,Always,Never,Never,Always,Sometimes,Always,Always,Never,Never,Never,Always,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,False,
83,Sometimes,Sometimes,Never,Never,Sometimes,Always,Sometimes,Always,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,False,
252,Always,Never,Sometimes,Always,Always,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Never,Never,False,
35,Always,Sometimes,Always,Sometimes,Always,Never,Always,Never,Always,Always,Never,Never,Never,Always,Never,Sometimes,Always,Sometimes,Sometimes,Always,False,
805,Sometimes,Always,Sometimes,Never,Never,Never,Always,Sometimes,Never,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,False,
