ID,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Result
0,Always,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Always,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Never,Never,True
1,Always,Never,Sometimes,Never,Sometimes,Sometimes,Never,Always,Always,Never,Sometimes,Never,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,False
2,Never,Sometimes,Never,Always,Sometimes,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes,True
3,Sometimes,Never,Sometimes,Always,Never,Never,Never,Always,Always,Sometimes,Never,Never,Sometimes,Always,Always,Sometimes,Never,Never,Never,Never,False
4,Never,Never,Sometimes,Never,Sometimes,Always,Never,Sometimes,Always,Always,Always,Sometimes,Always,Always,Never,Always,Never,Always,Sometimes,Always,True
5,Sometimes,Sometimes,Sometimes,Always,Always,Never,Sometimes,Sometimes,Never,Never,Always,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,False
6,Always,Sometimes,Always,Always,Never,Always,Always,Sometimes,Never,Always,Always,Always,Always,Sometimes,Never,Always,Sometimes,Always,Never,Always,True
7,Always,Always,Sometimes,Always,Never,Never,Always,Always,Never,Never,Sometimes,Sometimes,Sometimes,Always,Always,Never,Never,Never,Always,Sometimes,False
8,Always,Always,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Never,Sometimes,Sometimes,Never,Always,Never,Always,Never,Sometimes,True
9,Never,Never,Never,Never,Always,Never,Always,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Always,Never,Sometimes,Sometimes,False
10,Always,Always,Never,Never,Always,Always,Sometimes,Sometimes,Always,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Always,Always,Always,Never,True
11,Always,Never,Sometimes,Always,Sometimes,Never,Never,Always,Never,Never,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Never,Never,Always,Never,False
12,Never,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Always,Always,Sometimes,Never,Always,Never,Never,Sometimes,True
13,Sometimes,Always,Never,Never,Always,Never,Never,Always,Sometimes,Sometimes,Never,Sometimes,Always,Always,Never,Never,Never,Sometimes,Sometimes,Sometimes,False
14,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Always,Always,Never,Sometimes,Always,Always,Sometimes,Always,Always,Always,Never,True
15,Always,Always,Never,Always,Always,Never,Sometimes,Always,Always,Never,Never,Always,Sometimes,Sometimes,Never,Always,Never,Always,Never,Always,False
16,Sometimes,Never,Never,Never,Sometimes,Always,Never,Sometimes,Never,Sometimes,Always,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,True
17,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Never,Always,Sometimes,Never,Never,Sometimes,False
18,Always,Always,Sometimes,Always,Sometimes,Always,Always,Sometimes,Never,Always,Sometimes,Sometimes,Always,Always,Always,Always,Always,Sometimes,Always,Sometimes,True
19,Sometimes,Sometimes,Sometimes,Always,Never,Never,Always,Sometimes,Always,Never,Never,Always,Sometimes,Sometimes,Always,Always,Sometimes,Always,Sometimes,Never,False
20,Never,Never,Never,Always,Sometimes,Always,Sometimes,Always,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Always,Never,Sometimes,Always,True
21,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,Always,Never,Always,Always,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,False
22,Never,Always,Always,Sometimes,Never,Always,Always,Always,Always,Sometimes,Always,Never,Sometimes,Never,Sometimes,Always,Sometimes,Never,Never,Sometimes,True
23,Never,Always,Always,Sometimes,Sometimes,Never,Never,Always,Never,Never,Sometimes,Never,Never,Always,Sometimes,Sometimes,Never,Never,Always,Always,False
24,Sometimes,Sometimes,Never,Never,Sometimes,Always,Always,Sometimes,Sometimes,Never,Always,Always,Never,Sometimes,Never,Never,Never,Never,Sometimes,Always,True
25,Always,Always,Sometimes,Never,Never,Sometimes,Always,Always,Always,Sometimes,Never,Always,Always,Always,Always,Never,Always,Always,Never,Sometimes,False
26,Always,Sometimes,Never,Always,Never,Always,Never,Always,Always,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Always,Never,Always,Never,Sometimes,True
27,Sometimes,Always,Never,Sometimes,Never,Never,Sometimes,Never,Always,Never,Always,Never,Always,Never,Sometimes,Never,Never,Sometimes,Never,Never,False
28,Sometimes,Always,Never,Always,Always,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,Always,Never,Always,Never,Always,True
29,Sometimes,Never,Always,Sometimes,Always,Sometimes,Sometimes,Always,Always,Always,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Never,Always,Sometimes,Always,False
30,Never,Always,Never,Sometimes,Always,Sometimes,Never,Sometimes,Never,Sometimes,Always,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Never,Always,True
31,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Never,Never,False
32,Always,Sometimes,Sometimes,Always,Always,Always,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Always,Always,Sometimes,Never,Never,Sometimes,Never,True
33,Never,Never,Sometimes,Always,Sometimes,Never,Never,Never,Never,Always,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,False
34,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Always,Never,Sometimes,Never,Always,Sometimes,True
35,Always,Always,Always,Never,Sometimes,Never,Never,Always,Sometimes,Always,Never,Never,Always,Sometimes,Always,Always,Never,Always,Sometimes,Sometimes,False
36,Never,Sometimes,Always,Always,Never,Sometimes,Sometimes,Never,Sometimes,Never,Always,Sometimes,Sometimes,Never,Always,Never,Sometimes,Never,Always,Always,True
37,Sometimes,Sometimes,Never,Never,Sometimes,Always,Never,Never,Sometimes,Sometimes,Sometimes,Always,Always,Always,Always,Always,Never,Never,Never,Sometimes,False
38,Sometimes,Never,Always,Sometimes,Never,Always,Sometimes,Always,Always,Never,Never,Never,Always,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,True
