ID,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Result
0,Sometimes,Always,Sometimes,Always,Never,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Never,Never,Never,Never,Always,Sometimes,Always,Never,Sometimes,True
1,Always,Sometimes,Never,Always,Never,Always,Never,Never,Never,Sometimes,Sometimes,Always,Always,Sometimes,Always,Never,Sometimes,Never,Sometimes,Sometimes,False
2,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Always,Never,Sometimes,Sometimes,Always,Never,Always,Sometimes,Never,Sometimes,Never,Sometimes,True
3,Never,Sometimes,Always,Always,Never,Sometimes,Sometimes,Never,Never,Always,Always,Always,Sometimes,Never,Always,Always,Never,Always,Always,Always,False
4,Never,Sometimes,Sometimes,Sometimes,Never,Always,Always,Never,Never,Sometimes,Always,Sometimes,Always,Sometimes,Never,Always,Never,Never,Never,Never,True
5,Sometimes,Sometimes,Never,Sometimes,Always,Always,Sometimes,Sometimes,Always,Always,Sometimes,Never,Never,Sometimes,Never,Always,Never,Never,Sometimes,Always,False
6,Always,Never,Sometimes,Never,Never,Always,Sometimes,Sometimes,Always,Always,Always,Never,Never,Sometimes,Never,Never,Never,Never,Always,Sometimes,True
7,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Always,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Never,Never,False
8,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Always,Never,Sometimes,Never,Sometimes,Always,Never,Never,Never,Sometimes,Sometimes,True
9,Sometimes,Always,Always,Sometimes,Never,Sometimes,Never,Always,Always,Never,Sometimes,Sometimes,Never,Always,Never,Always,Always,Never,Never,Never,False
10,Always,Sometimes,Always,Always,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Always,Always,Sometimes,Always,True
11,Always,Never,Always,Sometimes,Sometimes,Never,Always,Always,Sometimes,Sometimes,Always,Never,Always,Always,Always,Never,Sometimes,Always,Always,Never,False
12,Always,Always,Always,Never,Sometimes,Always,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,True
13,Always,Sometimes,Never,Never,Always,Sometimes,Always,Sometimes,Sometimes,Always,Never,Always,Sometimes,Never,Sometimes,Always,Sometimes,Never,Sometimes,Never,False
14,Always,Never,Always,Sometimes,Always,Never,Always,Always,Never,Never,Always,Always,Always,Never,Sometimes,Never,Sometimes,Never,Always,Always,True
15,Sometimes,Sometimes,Never,Never,Never,Never,Always,Always,Never,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Never,Sometimes,Never,False
16,Never,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Never,Never,Always,Never,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Never,Sometimes,True
17,Sometimes,Always,Always,Sometimes,Always,Sometimes,Never,Never,Never,Always,Never,Always,Always,Always,Never,Always,Always,Sometimes,Sometimes,Always,False
